sku,checked_at,candidate_url,outcome,identity_evidence,rejection_reason,next_action
MSH-SET-004,2026-08-31T13:50:00+04:00,https://www.meesho.com/women-printed-rayon-aliya-cut-kurtipant-and-dupatta-set/p/7iks6o,Accepted,Current page and primary source image inspected; purple floral motif embellished neckline empire seam three-quarter sleeves cuff-striped pants and sheer purple dupatta match the canonical six-image set,,Promoted to canonical approved record with verified S–XXXL size-wise pricing
MSH-GWN-005,2026-08-31T14:05:58+04:00,https://www.meesho.com/anarkali-gown/p/9kyp3y,Rejected,Current page and primary source image inspected,Round-neck wine gown with a checked bodice and vertical skirt motifs conflicts with the stored purple V-neck gown with orange-blue yoke embroidery and evenly scattered gold motifs,Do not attach to Product 5
MSH-GWN-005,2026-08-31T14:05:58+04:00,https://www.meesho.com/premium-faux-blooming-embroidered-anarkali-gown-for-women-sequins-multithread-party-wear-ethnic-dress/p/cdctu4,Rejected,Current page metadata inspected,Polyester gown has short sleeves heavy bead and sequin embroidery and only XL availability; stored garment has three-quarter sleeves restrained yoke embroidery and scattered motifs,Do not attach to Product 5
MSH-GWN-005,2026-08-31T14:05:58+04:00,https://www.meesho.com/gown/p/cou8vg,Rejected,Indexed product metadata reviewed,Listing reports net quantity 5 and only XS M L; no current source-image and size-wise commercial evidence established the stored single-piece S–5XL garment,Do not attach; continue exact garment search
MSH-GWN-005,2026-08-31T14:05:58+04:00,https://www.meesho.com/trendy-emrodeiry-gown-for-women/p/ew94np,Rejected,Current indexed metadata reviewed,Sleeveless round-neck calf-length cotton gown conflicts with the stored V-neck three-quarter-sleeve ankle-length garment,Do not attach to Product 5
MSH-GWN-006,2026-08-31T14:16:52+04:00,https://www.meesho.com/womens-cream-floral-print-rayon-gown-soft-viscose-fabric-elegant-daily-party-wear-dress/p/46t1vs,Rejected,Current page metadata and primary source image inspected,Source has small repeated dark motifs with a pink geometric yoke and lacks the canonical pink floral-vine field brown placket brown cuffs and wide medallion hem,Do not attach to Product 6
MSH-GWN-006,2026-08-31T14:16:52+04:00,https://www.meesho.com/womens-cream-rayon-printed-anarkali-gown-elegant-long-kurti-dress-traditional-ethnic-wear-festive-casual-outfit/p/5u8mtm,Rejected,Current page metadata and primary source image inspected,Source has a small repeated motif field pink rounded bib and different narrow hem treatment rather than the canonical floral vines brown placket and wide oval-medallion border,Do not attach to Product 6
MSH-GWN-006,2026-08-31T14:16:52+04:00,https://www.meesho.com/womens-white-rayon-anarkali-gown-with-pink-floral-print-button-detail/p/4wrh84,Rejected,Current page metadata and primary source image inspected,Source is a mostly solid white mandarin-neck button-front gown with floral sleeves and hem only; canonical garment is all-over floral with a brown notched placket cuffs and medallion border,Do not attach to Product 6
MSH-WES-007,2026-08-31T14:16:52+04:00,https://www.meesho.com/seek-by-sheetal-pink-floral-georgette-maxi-dress-with-puff-sleeves-and-tiered-ruffles/p/9stnpu,Accepted,Current page and primary source image inspected; pink floral print square neckline shirred bodice short puff sleeves and three-tier ruffled skirt match the canonical six-image set,,Promoted to canonical approved record with verified S–XXL pricing
MSH-WES-008,2026-08-31T14:36:45+04:00,https://www.meesho.com/trendy-floral-printed-off-shoulder-maxi-dress-for-women-fit-and-flare-western-dress/p/9kti9o,Rejected,Current page metadata and full source gallery inspected,Silhouette overlaps but the live primary gallery is navy/blue and the page identifies Color Blue while the canonical garment is black; no current black variant image and variant-specific pricing prove the exact product,Do not attach until an inspectable black variant with exact commercial data is available
MSH-WES-008,2026-08-31T14:36:45+04:00,https://www.meesho.com/women-floral-printed-fit-flare-maxi-dress-off-shoulder-square-neck-casual-party-wear/p/boeum4,Rejected,Current page metadata and primary source image inspected,Source image is navy/blue and source fabric is Georgette with XXS–XL availability; canonical garment is black cotton blend and legacy sizes include XXL,Do not attach to Product 8
MSH-WES-008,2026-08-31T14:36:45+04:00,https://www.meesho.com/stylish-women-printed-off-shoulder-midi-length-dress/p/c8q8zq,Rejected,Current direct request returned 410 Gone,Removed page cannot provide current imagery size-wise pricing stock seller or returns evidence,Do not reuse; continue exact black garment search
MSH-WES-009,2026-08-31T14:43:12+04:00,https://www.meesho.com/womens-multicolour-puff-sleeves-knee-length-dress/p/6hmaf6,Rejected,Current page metadata and primary source image inspected,Source is a cold-shoulder halter dress with different bodice and border placement; canonical garment has a shirt-style collar V placket full shoulder coverage and concentrated multicolour floral yoke cuffs and hem,Do not attach to Product 9
MSH-WES-009,2026-08-31T14:43:12+04:00,https://www.meesho.com/woman-and-girls-white-rayon-fit-and-flare-above-knee-v-neck-casual-floral-cuffed-pleated-or-gathered-beautiful-and-stylish-printed-top-and-drees/p/7n0nns,Rejected,Current page metadata and primary source image inspected,Source uses a rust botanical all-over print and collarless V-neck; canonical garment uses blue pink orange and green border florals with a shirt collar and front buttons,Do not attach to Product 9
MSH-WES-009,2026-08-31T14:43:12+04:00,https://www.meesho.com/floral-print-off-shoulder-puff-sleeve-fit-flare-dress/p/dgf79i,Rejected,Current indexed listing evidence reviewed,Short-sleeve off-shoulder square-neck tiered dress conflicts with the canonical three-quarter-sleeve collared button-placket dress,Do not attach to Product 9
MSH-WES-010,2026-08-31T14:46:42+04:00,https://www.meesho.com/women-trendy-dress/p/bt8vy6,Rejected,Current indexed listing evidence reviewed,Lemon colour and wide square-neck straps overlap but source is a 40-inch mermaid dress with ruched bust and flared hem; canonical garment has side-waist ruching and an asymmetric front wrap slit,Do not attach to Product 10
MSH-WES-010,2026-08-31T14:46:42+04:00,https://www.meesho.com/stylish-womens-ruched-party-wear-maxi-dress-sexy-side-slit-long-dress/p/f1fjnv,Rejected,Current page metadata and indexed imagery reviewed,Source is maroon with spaghetti straps and a criss-cross back; canonical garment is lemon yellow with wide straps and a clean square neckline,Do not attach to Product 10
MSH-WES-010,2026-08-31T14:46:42+04:00,https://www.meesho.com/preety-lemon-yellow-floral-bodycon-dress-for-girls-gives-elegant-charming-look/p/blo01e,Rejected,Current indexed listing evidence reviewed,Source is a floral above-knee A-line mini dress with tie shoulder straps; canonical garment is a solid ankle-length bodycon dress with wide straps and asymmetric slit,Do not attach to Product 10
MSH-EXP-021,2026-08-31T15:02:55+04:00,https://www.meesho.com/womens-printed-pure-cotton-kurta-pant-set/p/g9023b,Accepted,"Current listing metadata and primary source image inspected; white cotton A-line kurta pants and coordinated printed dupatta agree across identity evidence",,"Six separate 4:5 images passed source-match and cross-view QA; approved with storefront and Meta sync deferred"
MSH-EXP-022,2026-08-31T15:02:55+04:00,https://www.meesho.com/co-ord-set-for-women/p/angdgj,Accepted,"Current listing metadata and primary source image inspected; cream printed tunic and light cotton-blend palazzos agree with the two-piece listing identity; six separate 4:5 images passed source-match and cross-view QA",,"Keep XXS withheld; release only after storefront and Meta batch gates pass"
MSH-EXP-023,2026-08-31T15:02:55+04:00,https://www.meesho.com/womens-elegant-floral-print-bodycon-maxi-dress-stretchable-sleeveless-western-long-dress-for-parties-special-occasions/p/af2ejj,Accepted,"Current listing metadata and primary source image inspected; white Lycra shoulder-strap bodycon maxi with red rose print matches the structured identity; six separate 4:5 images passed source-match and cross-view QA",,"Release only after storefront and Meta batch gates pass"
MSH-EXP-024,2026-08-31T15:02:55+04:00,https://www.meesho.com/women-floral-print-maxi-gown-dress/p/9y5qfp,Accepted,"Current listing metadata and primary source image inspected; sleeveless green rayon tiered maxi with vivid pink floral print matches the structured identity; six separate 4:5 images passed source-match and cross-view QA",,"Keep unsupported XXXL and 4XL sizes withheld; release only after storefront and Meta batch gates pass"
MSH-EXP-025,2026-08-31T15:02:55+04:00,https://www.meesho.com/women-black-anarkali-gown-set-with-floral-printed-dupatta-long-flared-georgette-gown-ethnic-party-festive-wear-for-women/p/bzrjgi,Accepted,"Current listing metadata and primary source image inspected; solid black long-sleeve georgette Anarkali and black floral dupatta match the structured identity; six separate 4:5 images passed source-match and cross-view QA",,"Release only after storefront and Meta gates pass"
MSH-ETH-002,2026-08-31T18:19:20+04:00,https://www.meesho.com/women-teal-green-art-silk-embroidered-kurti-designer-festive-party-wear-straight-kurti/p/5f47dk,Rejected,Current Meesho page inspected in Chrome,Listing is out of stock and exposes no verifiable product image or current selectable commercial record,Do not attach to Product 2; continue exact active-source search
MSH-ETH-002,2026-08-31T18:19:20+04:00,https://www.meesho.com/designer-silk-blend-straight-kurta-women-embroidered-silk-blend-straight-kurta/p/5r9kgb,Rejected,Current live Meesho metadata and primary image inspected,Source has a green base with gold vertical yoke and scattered motifs; canonical garment is blue-teal with a white geometric U-shaped yoke and no scattered motifs,Do not attach to Product 2; continue exact garment search
MSH-ETH-002,2026-08-31T18:25:00+04:00,https://www.meesho.com/straight-embroidered-kurta-for-women-and-girls/p/7tw01f,Accepted,"Live listing metadata and five source images inspected in Chrome; primary image matches the preserved model, blue-teal sheen, white geometric U-shaped yoke, neckline, clean body, sleeves and A-line silhouette",,"Correct unsupported sizes and size-wise source-plus-₹200 prices; correct info card; run local and production QA before Meta readiness"
